"Date","Price","Open","High","Low","Vol.","Change %"
"03/15/2017","12,745.49","12,789.52","12,828.64","12,737.51","218.39M","-0.34%"
"03/14/2017","12,789.52","12,928.93","12,972.60","12,789.52","169.24M","-1.08%"
"03/13/2017","12,929.13","12,919.90","13,020.84","12,919.90","166.01M","0.07%"
"03/12/2017","12,919.90","12,853.91","12,953.77","12,850.69","131.77M","0.52%"
"03/09/2017","12,853.27","12,742.49","12,904.51","12,741.10","184.98M","0.93%"
"03/08/2017","12,735.36","12,677.19","12,738.48","12,637.26","200.13M","0.46%"
"03/07/2017","12,677.55","12,655.25","12,749.44","12,655.25","312.87M","0.43%"
"03/06/2017","12,623.22","12,499.61","12,624.33","12,468.00","193.01M","0.99%"
"03/05/2017","12,499.61","12,312.23","12,500.30","12,312.23","168.21M","1.54%"
"03/02/2017","12,310.49","12,016.96","12,310.49","12,016.96","224.71M","2.60%"
"03/01/2017","11,998.72","11,937.67","12,045.27","11,937.19","135.37M","0.51%"
"02/28/2017","11,937.67","11,947.68","11,947.68","11,844.50","232.94M","-0.72%"
"02/27/2017","12,023.93","12,281.14","12,284.44","12,023.63","188.18M","-2.00%"
"02/26/2017","12,269.88","12,270.38","12,410.25","12,269.87","156.01M","0.24%"
"02/23/2017","12,240.53","12,401.09","12,453.15","12,211.21","318.38M","-1.29%"
"02/22/2017","12,401.09","12,668.98","12,668.98","12,401.09","266.88M","-2.03%"
"02/21/2017","12,657.82","12,462.67","12,687.27","12,462.67","401.08M","1.72%"
"02/20/2017","12,444.18","12,515.61","12,515.61","12,347.66","202.74M","-0.84%"
"02/19/2017","12,549.17","12,651.97","12,714.68","12,549.17","178.49M","-0.81%"
"02/16/2017","12,651.97","12,450.09","12,666.75","12,450.09","167.81M","1.64%"
"02/15/2017","12,448.35","12,503.64","12,503.64","12,300.07","179.43M","-0.44%"
"02/14/2017","12,503.73","12,740.05","12,798.69","12,503.73","169.43M","-1.85%"
"02/13/2017","12,740.05","12,918.10","12,918.10","12,730.90","192.30M","-1.41%"
"02/12/2017","12,922.44","13,118.23","13,139.06","12,922.44","143.56M","-1.47%"
"02/09/2017","13,114.86","13,228.15","13,228.15","13,114.86","184.18M","-0.86%"
"02/08/2017","13,228.33","13,169.54","13,411.32","13,169.54","250.95M","0.75%"
"02/07/2017","13,129.27","12,849.81","13,129.27","12,849.81","242.78M","2.18%"
"02/06/2017","12,849.42","12,883.43","12,895.96","12,813.52","213.48M","-0.26%"
"02/05/2017","12,883.43","12,807.73","12,973.71","12,807.73","188.80M","0.60%"
"02/02/2017","12,806.07","12,584.26","12,806.10","12,578.22","187.79M","1.76%"
"02/01/2017","12,584.26","12,674.67","12,771.94","12,584.26","218.21M","-0.70%"
"01/31/2017","12,672.49","12,920.28","12,920.28","12,672.49","282.35M","-1.96%"
"01/30/2017","12,926.07","13,162.56","13,162.56","12,926.07","368.35M","-1.79%"
"01/29/2017","13,161.52","13,105.36","13,223.41","13,105.36","358.10M","0.54%"
"01/26/2017","13,091.05","12,911.12","13,092.27","12,911.12","324.42M","1.62%"
"01/24/2017","12,882.88","13,002.16","13,002.16","12,778.40","228.60M","-0.92%"
"01/23/2017","13,002.89","12,732.51","13,043.37","12,732.51","288.91M","2.21%"
"01/22/2017","12,722.08","12,809.78","12,809.78","12,629.70","260.67M","-0.66%"
"01/19/2017","12,806.77","13,269.53","13,269.53","12,806.77","418.10M","-3.74%"
"01/18/2017","13,304.44","13,442.17","13,544.42","13,304.44","581.07M","-0.98%"
