"Date","Price","Open","High","Low","Vol.","Change %"
"01/28/2019","11,335.86","11,301.89","11,340.21","11,301.89","","0.30%"
"01/25/2019","11,301.89","11,324.63","11,413.92","11,301.89","","-0.20%"
"01/24/2019","11,324.63","11,284.85","11,372.79","11,267.41","","0.35%"
"01/23/2019","11,284.85","11,245.72","11,284.85","11,221.84","","0.35%"
"01/22/2019","11,245.72","11,192.32","11,249.03","11,182.09","","0.48%"
"01/21/2019","11,192.32","11,202.72","11,229.19","11,188.52","","-0.09%"
"01/18/2019","11,202.72","11,194.65","11,233.97","11,169.86","","0.07%"
"01/17/2019","11,194.65","11,124.74","11,195.26","11,116.68","","0.63%"
"01/16/2019","11,124.74","11,185.31","11,192.93","11,111.97","","-0.54%"
"01/15/2019","11,185.31","11,055.98","11,187.97","11,043.22","","1.17%"
"01/14/2019","11,055.98","11,089.52","11,097.31","11,036.36","","-0.30%"
"01/10/2019","11,089.52","11,082.41","11,089.52","11,052.62","","0.06%"
"01/09/2019","11,082.41","11,083.87","11,118.58","11,060.20","","-0.01%"
"01/08/2019","11,083.87","11,081.50","11,086.47","11,056.77","","0.02%"
"01/07/2019","11,081.50","11,120.89","11,125.86","11,081.50","","-0.35%"
"01/04/2019","11,120.89","11,187.58","11,246.66","11,118.78","","-0.60%"
"01/03/2019","11,187.58","11,306.19","11,306.33","11,187.58","","-1.05%"
"01/02/2019","11,306.19","11,364.31","11,371.27","11,258.80","","-0.51%"
"12/31/2018","11,364.31","11,188.28","11,368.06","11,188.16","","1.57%"
"12/28/2018","11,188.28","11,253.76","11,319.66","11,184.00","","-0.58%"
"12/27/2018","11,253.76","11,255.24","11,287.95","11,240.71","","-0.01%"
"12/26/2018","11,255.24","11,226.37","11,271.54","11,223.44","","0.26%"
"12/25/2018","11,226.37","11,183.78","11,258.01","11,179.34","","0.38%"
"12/24/2018","11,183.78","11,176.00","11,209.65","11,166.96","","0.07%"
"12/21/2018","11,176.00","11,205.40","11,252.67","11,176.00","","-0.26%"
"12/20/2018","11,205.40","11,204.09","11,217.74","11,172.64","","0.01%"
"12/19/2018","11,204.09","11,194.52","11,231.30","11,175.71","","0.09%"
"12/18/2018","11,194.52","11,205.73","11,234.51","11,192.76","","-0.10%"
"12/17/2018","11,205.73","11,143.73","11,210.37","11,120.13","","0.56%"
"12/14/2018","11,143.73","11,237.51","11,274.58","11,141.45","","-0.83%"
"12/13/2018","11,237.51","11,214.37","11,246.46","11,199.07","","0.21%"
"12/12/2018","11,214.37","11,280.89","11,282.18","11,214.37","","-0.59%"
"12/11/2018","11,280.89","11,239.20","11,280.89","11,178.75","","0.37%"
"12/10/2018","11,239.20","11,204.04","11,242.16","11,194.97","","0.31%"
"12/07/2018","11,204.04","11,281.74","11,293.96","11,202.28","","-0.69%"
"12/06/2018","11,281.74","11,320.03","11,324.55","11,261.48","","-0.34%"
"12/05/2018","11,320.03","11,301.24","11,325.00","11,290.37","","0.17%"
"12/04/2018","11,301.24","11,235.23","11,301.24","11,173.79","","0.59%"
"12/03/2018","11,235.23","11,229.28","11,277.13","11,199.98","","0.05%"
"11/30/2018","11,229.28","11,202.53","11,240.36","11,147.40","","0.24%"
"11/29/2018","11,202.53","11,229.32","11,316.03","11,202.53","","-0.24%"
"11/28/2018","11,228.99","11,180.98","11,234.57","11,179.19","","0.43%"
"11/27/2018","11,180.98","11,158.62","11,181.17","11,154.84","","0.20%"
